"key","English (source)","hi (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","तैयारी","",""
"nav.planner","AI Planner","AI योजनाकार","",""
"nav.destinations","Destinations","गंतव्य","",""
"nav.food","Food","खाना","",""
"nav.reviews","Reviews","समीक्षाएँ","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","नक्शा","",""
"nav.help","Help","सहायता","",""
"plan.eyebrow","Plan your trip — start here","अपनी यात्रा की योजना बनाएँ — यहाँ से शुरू करें","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","कोरिया पहुँचने से पहले तय करने योग्य 6 बुनियादी बातें।","",""
"plan.tiles.visa.title","Visa & K-ETA","वीज़ा और K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","प्रवेश अनुमति और वीज़ा नियम","",""
"plan.tiles.transit.title","Getting Around","आवागमन","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · मेट्रो · KTX · टैक्सी","",""
"plan.tiles.airport.title","Airport → City","हवाई अड्डा → शहर","",""
"plan.tiles.airport.sub","Incheon · AREX express","इंचियोन · AREX एक्सप्रेस","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","पहुँचते ही ऑनलाइन","",""
"plan.tiles.money.title","Money & Payment","पैसा और भुगतान","",""
"plan.tiles.money.sub","Exchange · cards · cash","विनिमय · कार्ड · नकद","",""
"plan.tiles.weather.title","Best Time / Weather","सबसे अच्छा समय और मौसम","",""
"plan.tiles.weather.sub","When to visit & what to pack","कब जाएँ? क्या ले जाएँ?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","AI यात्रा योजनाकार — Korea Trip Hub का दिल","",""
"hero.title_1","Pin your hotel. Pick a city.","अपना होटल चुनें। शहर चुनें।","",""
"hero.title_2","Get the whole trip planned.","और पूरी यात्रा तैयार।","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","बताएँ कि आप कहाँ ठहरे हैं और कहाँ जाना चाहते हैं — जैसे बुसान। हम सबसे तेज़ रास्ता (KTX, बस, फ़्लाइट) ढूँढते हैं और आपके होटल से शुरू कर दिन-प्रतिदिन का रूट बनाते हैं।","",""
"hero.f_hotel","Your hotel / starting point","आपका होटल / शुरुआती स्थान","",""
"hero.f_dest","Where do you want to go?","कहाँ जाना चाहते हैं?","",""
"hero.f_days","Days","दिन","",""
"hero.f_travelers","Travelers","यात्री","",""
"hero.f_style","Trip style","यात्रा शैली","",""
"hero.build","Build my trip","यात्रा बनाएँ","",""
"help.eyebrow","Peace of mind","निश्चिंतता","",""
"help.title","Help & Safety","सहायता और सुरक्षा","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","पहुँचने से पहले सहेजने लायक, आधिकारिक स्रोतों से जाँची गई ज़रूरी जानकारी।","",""
"help.verified_on","Verified","सत्यापित","",""
"help.check_official","Always confirm at the official source","हमेशा आधिकारिक स्रोत पर पुष्टि करें","",""
"help.embassy.title","Your embassy","आपका दूतावास","",""
"help.embassy.sub","Address, phone & map by country.","देश के अनुसार पता, फ़ोन और नक्शा।","",""
"help.unavailable","Being verified","सत्यापन जारी","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","कोरिया घूमने के लिए ऑल-इन-वन हब — योजना, खोज, खाना और अनुभव, 20 भाषाओं में।","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","यात्रा जानकारी आधिकारिक स्रोतों से जाँची जाती है और सत्यापन तिथि दी जाती है। कीमतें, समय-सारणी और वीज़ा नियम बदलते हैं — यात्रा से पहले हमेशा दिए गए आधिकारिक स्रोत पर पुष्टि करें।","",""
"map.search","Search","खोजें","",""
"map.placeholder","Search an address or place…","पता या स्थान खोजें…","",""
"map.kakaoPending","KakaoMap key coming soon.","KakaoMap कुंजी जल्द आएगी।","",""
"map.noResult","No result — try a full address.","कोई परिणाम नहीं — पूरा पता आज़माएँ।","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Naver Maps अधिकृत नहीं हो सका — Client ID और पंजीकृत डोमेन जाँचें।","",""
"map.loadFail","Couldn't load the map.","नक्शा लोड नहीं हो सका।","",""
"spotify.title","Listen — K-Pop on Spotify","सुनें — Spotify पर K-Pop","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","ट्रेंडिंग ग्रुप और दुनिया भर के फैंस के पसंदीदा कलाकार। सुनने के लिए एक चुनें।","",""
"spotify.artists","Artists & groups","कलाकार और ग्रुप","",""
"spotify.playlists","Curated playlists","चुनी हुई प्लेलिस्ट","",""
"spotify.note","Free previews; full tracks with a Spotify login.","मुफ़्त प्रीव्यू; पूरे गाने Spotify लॉगिन पर।","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","कैसे पहुँचें","",""
"planner.morning","Morning","सुबह","",""
