"key","English (source)","tr (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","Hazırlık","",""
"nav.planner","AI Planner","AI Planlayıcı","",""
"nav.destinations","Destinations","Rotalar","",""
"nav.food","Food","Yemek","",""
"nav.reviews","Reviews","Yorumlar","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","Harita","",""
"nav.help","Help","Yardım","",""
"plan.eyebrow","Plan your trip — start here","Gezini planla — buradan başla","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","Kore'ye varmadan önce halletmen gereken 6 temel şey.","",""
"plan.tiles.visa.title","Visa & K-ETA","Vize & K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","Giriş izni ve vize kuralları","",""
"plan.tiles.transit.title","Getting Around","Ulaşım","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · metro · KTX · taksi","",""
"plan.tiles.airport.title","Airport → City","Havalimanı → şehir","",""
"plan.tiles.airport.sub","Incheon · AREX express","Incheon · AREX ekspres","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","Varışta anında bağlan","",""
"plan.tiles.money.title","Money & Payment","Para & ödeme","",""
"plan.tiles.money.sub","Exchange · cards · cash","Döviz · kart · nakit","",""
"plan.tiles.weather.title","Best Time / Weather","En iyi zaman & hava","",""
"plan.tiles.weather.sub","When to visit & what to pack","Ne zaman gitmeli? Ne almalı?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","AI Gezi Planlayıcı — Korea Trip Hub'ın kalbi","",""
"hero.title_1","Pin your hotel. Pick a city.","Otelini işaretle. Bir şehir seç.","",""
"hero.title_2","Get the whole trip planned.","Ve tüm gezi hazır.","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","Nerede kaldığını ve nereye gitmek istediğini söyle — örneğin Busan. En hızlı rotayı (KTX, otobüs, uçak) buluruz ve otelinden başlayarak gün gün bir güzergâh kurarız.","",""
"hero.f_hotel","Your hotel / starting point","Otelin / başlangıç noktan","",""
"hero.f_dest","Where do you want to go?","Nereye gitmek istersin?","",""
"hero.f_days","Days","Gün","",""
"hero.f_travelers","Travelers","Yolcu","",""
"hero.f_style","Trip style","Gezi tarzı","",""
"hero.build","Build my trip","Gezimi oluştur","",""
"help.eyebrow","Peace of mind","İçin rahat olsun","",""
"help.title","Help & Safety","Yardım & güvenlik","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","Varmadan önce kaydetmelik, resmi kaynaklardan doğrulanmış temel bilgiler.","",""
"help.verified_on","Verified","Doğrulandı","",""
"help.check_official","Always confirm at the official source","Her zaman resmi kaynaktan teyit et","",""
"help.embassy.title","Your embassy","Ülkenin büyükelçiliği","",""
