"key","English (source)","ms (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","Persediaan","",""
"nav.planner","AI Planner","Perancang AI","",""
"nav.destinations","Destinations","Destinasi","",""
"nav.food","Food","Makanan","",""
"nav.reviews","Reviews","Ulasan","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","Peta","",""
"nav.help","Help","Bantuan","",""
"plan.eyebrow","Plan your trip — start here","Rancang perjalanan — mula di sini","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","6 perkara asas untuk diselesaikan sebelum tiba di Korea.","",""
"plan.tiles.visa.title","Visa & K-ETA","Visa & K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","Kebenaran masuk & peraturan visa","",""
"plan.tiles.transit.title","Getting Around","Pengangkutan","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · subway · KTX · teksi","",""
"plan.tiles.airport.title","Airport → City","Lapangan terbang → bandar","",""
"plan.tiles.airport.sub","Incheon · AREX express","Incheon · AREX ekspres","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","Terus dalam talian ketika tiba","",""
"plan.tiles.money.title","Money & Payment","Wang & bayaran","",""
"plan.tiles.money.sub","Exchange · cards · cash","Tukaran · kad · tunai","",""
"plan.tiles.weather.title","Best Time / Weather","Masa terbaik & cuaca","",""
"plan.tiles.weather.sub","When to visit & what to pack","Bila pergi? Bawa apa?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","Perancang Perjalanan AI — nadi Korea Trip Hub","",""
"hero.title_1","Pin your hotel. Pick a city.","Tanda hotel anda. Pilih bandar.","",""
"hero.title_2","Get the whole trip planned.","Dan seluruh perjalanan siap.","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","Beritahu kami di mana anda menginap dan ke mana anda mahu pergi — contohnya Busan. Kami cari laluan terpantas (KTX, bas, penerbangan) dan bina laluan harian bermula dari hotel anda.","",""
"hero.f_hotel","Your hotel / starting point","Hotel anda / titik permulaan","",""
"hero.f_dest","Where do you want to go?","Ke mana anda mahu pergi?","",""
"hero.f_days","Days","Hari","",""
"hero.f_travelers","Travelers","Pengembara","",""
"hero.f_style","Trip style","Gaya perjalanan","",""
"hero.build","Build my trip","Cipta perjalanan","",""
"help.eyebrow","Peace of mind","Tenang","",""
"help.title","Help & Safety","Bantuan & keselamatan","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","Maklumat penting yang disahkan dengan sumber rasmi, simpan sebelum tiba.","",""
"help.verified_on","Verified","Disahkan","",""
"help.check_official","Always confirm at the official source","Sentiasa sahkan di sumber rasmi","",""
"help.embassy.title","Your embassy","Kedutaan anda","",""
"help.embassy.sub","Address, phone & map by country.","Alamat, telefon & peta mengikut negara.","",""
"help.unavailable","Being verified","Sedang disahkan","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","Hab serba lengkap untuk melawat Korea — rancang, terokai, makan dan alami, dalam 20 bahasa.","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","Maklumat perjalanan disemak dengan sumber rasmi berserta tarikh pengesahan. Harga, jadual dan peraturan visa berubah — sentiasa sahkan di sumber rasmi yang dipautkan sebelum melancong.","",""
"map.search","Search","Cari","",""
