"key","English (source)","bn (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","প্রস্তুতি","",""
"nav.planner","AI Planner","AI প্ল্যানার","",""
"nav.destinations","Destinations","গন্তব্য","",""
"nav.food","Food","খাবার","",""
"nav.reviews","Reviews","রিভিউ","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","মানচিত্র","",""
"nav.help","Help","সহায়তা","",""
"plan.eyebrow","Plan your trip — start here","আপনার ভ্রমণ পরিকল্পনা করুন — এখান থেকে শুরু","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","কোরিয়ায় পৌঁছানোর আগে সেরে ফেলার ৬টি মূল বিষয়।","",""
"plan.tiles.visa.title","Visa & K-ETA","ভিসা ও K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","প্রবেশের অনুমতি ও ভিসা নিয়ম","",""
"plan.tiles.transit.title","Getting Around","যাতায়াত","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · সাবওয়ে · KTX · ট্যাক্সি","",""
"plan.tiles.airport.title","Airport → City","বিমানবন্দর → শহর","",""
"plan.tiles.airport.sub","Incheon · AREX express","ইনচন · AREX এক্সপ্রেস","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","পৌঁছেই অনলাইন","",""
"plan.tiles.money.title","Money & Payment","টাকা ও পেমেন্ট","",""
"plan.tiles.money.sub","Exchange · cards · cash","বিনিময় · কার্ড · নগদ","",""
"plan.tiles.weather.title","Best Time / Weather","সেরা সময় ও আবহাওয়া","",""
"plan.tiles.weather.sub","When to visit & what to pack","কখন যাবেন? কী নেবেন?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","AI ট্রিপ প্ল্যানার — Korea Trip Hub-এর প্রাণ","",""
"hero.title_1","Pin your hotel. Pick a city.","হোটেল চিহ্নিত করুন। শহর বেছে নিন।","",""
"hero.title_2","Get the whole trip planned.","আর পুরো ভ্রমণ প্রস্তুত।","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","বলুন আপনি কোথায় আছেন আর কোথায় যেতে চান — যেমন বুসান। আমরা দ্রুততম পথ (KTX, বাস, ফ্লাইট) খুঁজি এবং আপনার হোটেল থেকে শুরু করে দিন-ভিত্তিক রুট তৈরি করি।","",""
"hero.f_hotel","Your hotel / starting point","আপনার হোটেল / শুরুর স্থান","",""
"hero.f_dest","Where do you want to go?","কোথায় যেতে চান?","",""
"hero.f_days","Days","দিন","",""
"hero.f_travelers","Travelers","ভ্রমণকারী","",""
"hero.f_style","Trip style","ভ্রমণের ধরন","",""
"hero.build","Build my trip","ভ্রমণ তৈরি করুন","",""
"help.eyebrow","Peace of mind","নিশ্চিন্ত থাকুন","",""
"help.title","Help & Safety","সহায়তা ও নিরাপত্তা","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","পৌঁছানোর আগে সংরক্ষণযোগ্য, সরকারি সূত্রে যাচাই করা জরুরি তথ্য।","",""
"help.verified_on","Verified","যাচাইকৃত","",""
