"key","English (source)","vi (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","Chuẩn bị","",""
"nav.planner","AI Planner","Lịch trình AI","",""
"nav.destinations","Destinations","Điểm đến","",""
"nav.food","Food","Ẩm thực","",""
"nav.reviews","Reviews","Đánh giá","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","Bản đồ","",""
"nav.help","Help","Trợ giúp","",""
"plan.eyebrow","Plan your trip — start here","Lên kế hoạch — bắt đầu tại đây","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","6 điều cơ bản cần chuẩn bị trước khi đến Hàn Quốc.","",""
"plan.tiles.visa.title","Visa & K-ETA","Visa & K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","Giấy phép nhập cảnh & quy định visa","",""
"plan.tiles.transit.title","Getting Around","Đi lại","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · tàu điện · KTX · taxi","",""
"plan.tiles.airport.title","Airport → City","Sân bay → thành phố","",""
"plan.tiles.airport.sub","Incheon · AREX express","Incheon · AREX tốc hành","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","Kết nối ngay khi đến","",""
"plan.tiles.money.title","Money & Payment","Tiền & thanh toán","",""
"plan.tiles.money.sub","Exchange · cards · cash","Đổi tiền · thẻ · tiền mặt","",""
"plan.tiles.weather.title","Best Time / Weather","Thời điểm & thời tiết","",""
"plan.tiles.weather.sub","When to visit & what to pack","Khi nào đi? Mang gì?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","Lịch trình AI — trái tim của Korea Trip Hub","",""
"hero.title_1","Pin your hotel. Pick a city.","Ghim khách sạn. Chọn thành phố.","",""
"hero.title_2","Get the whole trip planned.","Cả chuyến đi được lên sẵn.","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","Cho chúng tôi biết bạn ở đâu và muốn đi đâu — ví dụ Busan. Chúng tôi tìm cách nhanh nhất (KTX, xe buýt, máy bay) và dựng lộ trình từng ngày quanh các điểm nổi bật, khởi hành từ khách sạn của bạn.","",""
"hero.f_hotel","Your hotel / starting point","Khách sạn / điểm xuất phát","",""
"hero.f_dest","Where do you want to go?","Bạn muốn đi đâu?","",""
"hero.f_days","Days","Số ngày","",""
"hero.f_travelers","Travelers","Số người","",""
"hero.f_style","Trip style","Phong cách","",""
"hero.build","Build my trip","Tạo lịch trình","",""
"help.eyebrow","Peace of mind","An tâm","",""
"help.title","Help & Safety","Trợ giúp & an toàn","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","Thông tin thiết yếu đã đối chiếu nguồn chính thức, nên lưu lại trước khi đến.","",""
"help.verified_on","Verified","Đã xác minh","",""
"help.check_official","Always confirm at the official source","Luôn kiểm tra lại tại nguồn chính thức","",""
"help.embassy.title","Your embassy","Đại sứ quán của bạn","",""
"help.embassy.sub","Address, phone & map by country.","Địa chỉ, điện thoại & bản đồ theo quốc gia.","",""
"help.unavailable","Being verified","Đang xác minh","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","Trung tâm tất-cả-trong-một cho chuyến đi Hàn Quốc — lên kế hoạch, khám phá, ăn uống và trải nghiệm, bằng 20 ngôn ngữ.","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","Thông tin du lịch được đối chiếu với nguồn chính thức kèm ngày xác minh. Giá, lịch trình và quy định visa thay đổi — luôn xác nhận tại nguồn chính thức được liên kết trước khi đi.","",""
"map.search","Search","Tìm","",""
"map.placeholder","Search an address or place…","Tìm địa chỉ hoặc địa điểm…","",""
"map.kakaoPending","KakaoMap key coming soon.","Khóa KakaoMap sắp có.","",""
"map.noResult","No result — try a full address.","Không có kết quả — thử địa chỉ đầy đủ.","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Naver Maps không thể xác thực — kiểm tra Client ID và tên miền đã đăng ký.","",""
"map.loadFail","Couldn't load the map.","Không tải được bản đồ.","",""
"spotify.title","Listen — K-Pop on Spotify","Nghe nhạc — K-Pop trên Spotify","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","Các nhóm đang thịnh hành và nghệ sĩ được fan toàn cầu yêu thích. Chọn để nghe bài hát nổi bật.","",""
"spotify.artists","Artists & groups","Nghệ sĩ & nhóm nhạc","",""
"spotify.playlists","Curated playlists","Playlist tuyển chọn","",""
"spotify.note","Free previews; full tracks with a Spotify login.","Nghe thử miễn phí; bài đầy đủ khi đăng nhập Spotify.","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","Di chuyển","",""
"planner.morning","Morning","Sáng","",""
"planner.afternoon","Afternoon","Chiều","",""
"planner.evening","Evening","Tối","",""
"planner.share","Share this trip","Chia sẻ lịch trình","",""
"planner.transportNote","Times and fares change — confirm with the operator.","Giờ và giá vé thay đổi — hãy xác nhận với nhà vận hành.","",""
"dest.title","Destinations","Điểm đến","",""
