"key","English (source)","fil (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","Paghahanda","",""
"nav.planner","AI Planner","AI Planner","",""
"nav.destinations","Destinations","Mga destinasyon","",""
"nav.food","Food","Pagkain","",""
"nav.reviews","Reviews","Mga review","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","Mapa","",""
"nav.help","Help","Tulong","",""
"plan.eyebrow","Plan your trip — start here","Planuhin ang biyahe — magsimula rito","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","Ang 6 na pangunahing dapat ayusin bago dumating sa Korea.","",""
"plan.tiles.visa.title","Visa & K-ETA","Visa & K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","Pahintulot sa pagpasok at mga patakaran sa visa","",""
"plan.tiles.transit.title","Getting Around","Paglilibot","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · subway · KTX · taxi","",""
"plan.tiles.airport.title","Airport → City","Airport → lungsod","",""
"plan.tiles.airport.sub","Incheon · AREX express","Incheon · AREX express","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","Konektado pagdating","",""
"plan.tiles.money.title","Money & Payment","Pera at bayad","",""
"plan.tiles.money.sub","Exchange · cards · cash","Palit · card · cash","",""
"plan.tiles.weather.title","Best Time / Weather","Pinakamagandang panahon","",""
"plan.tiles.weather.sub","When to visit & what to pack","Kailan pumunta? Ano dala?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","AI Trip Planner — ang puso ng Korea Trip Hub","",""
"hero.title_1","Pin your hotel. Pick a city.","I-pin ang hotel mo. Pumili ng lungsod.","",""
"hero.title_2","Get the whole trip planned.","At handa na ang buong biyahe.","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","Sabihin kung saan ka nakatira at saan gusto mong pumunta — halimbawa, Busan. Hahanapin namin ang pinakamabilis na ruta (KTX, bus, eroplano) at gagawa ng araw-araw na ruta mula sa hotel mo.","",""
"hero.f_hotel","Your hotel / starting point","Iyong hotel / panimulang punto","",""
"hero.f_dest","Where do you want to go?","Saan mo gustong pumunta?","",""
"hero.f_days","Days","Araw","",""
"hero.f_travelers","Travelers","Manlalakbay","",""
"hero.f_style","Trip style","Istilo ng biyahe","",""
"hero.build","Build my trip","Gumawa ng biyahe","",""
"help.eyebrow","Peace of mind","Panatag ang loob","",""
"help.title","Help & Safety","Tulong at kaligtasan","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","Mahahalagang impormasyong na-verify sa opisyal na pinagmulan, i-save bago dumating.","",""
"help.verified_on","Verified","Na-verify","",""
"help.check_official","Always confirm at the official source","Palaging tingnan sa opisyal na pinagmulan","",""
"help.embassy.title","Your embassy","Iyong embahada","",""
"help.embassy.sub","Address, phone & map by country.","Address, telepono at mapa ayon sa bansa.","",""
"help.unavailable","Being verified","Nive-verify","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","All-in-one hub para bisitahin ang Korea — magplano, mag-explore, kumain at maranasan, sa 20 wika.","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","Ang impormasyon sa biyahe ay ina-check sa opisyal na pinagmulan na may petsa ng verification. Nagbabago ang presyo, iskedyul at patakaran sa visa — palaging kumpirmahin sa naka-link na opisyal na pinagmulan bago maglakbay.","",""
"map.search","Search","Hanapin","",""
"map.placeholder","Search an address or place…","Maghanap ng address o lugar…","",""
"map.kakaoPending","KakaoMap key coming soon.","Malapit nang dumating ang KakaoMap key.","",""
"map.noResult","No result — try a full address.","Walang resulta — subukan ang buong address.","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Hindi na-authorize ang Naver Maps — tingnan ang Client ID at nakarehistrong domain.","",""
"map.loadFail","Couldn't load the map.","Hindi ma-load ang mapa.","",""
"spotify.title","Listen — K-Pop on Spotify","Makinig — K-Pop sa Spotify","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","Mga sikat na grupo at artist na mahal ng mga fan sa buong mundo. Pumili para marinig ang mga top kanta.","",""
"spotify.artists","Artists & groups","Mga artist at grupo","",""
"spotify.playlists","Curated playlists","Piling playlist","",""
