"key","English (source)","th (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","เตรียมตัว","",""
"nav.planner","AI Planner","แผนเที่ยว AI","",""
"nav.destinations","Destinations","จุดหมาย","",""
"nav.food","Food","อาหาร","",""
"nav.reviews","Reviews","รีวิว","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","แผนที่","",""
"nav.help","Help","ช่วยเหลือ","",""
"plan.eyebrow","Plan your trip — start here","วางแผนเที่ยว — เริ่มที่นี่","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","6 เรื่องพื้นฐานที่ควรจัดการก่อนถึงเกาหลี","",""
"plan.tiles.visa.title","Visa & K-ETA","วีซ่า & K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","ใบอนุญาตเข้าเมือง & กฎวีซ่า","",""
"plan.tiles.transit.title","Getting Around","การเดินทาง","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · รถไฟใต้ดิน · KTX · แท็กซี่","",""
"plan.tiles.airport.title","Airport → City","สนามบิน → เมือง","",""
"plan.tiles.airport.sub","Incheon · AREX express","อินชอน · AREX ด่วน","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","เชื่อมต่อทันทีที่มาถึง","",""
"plan.tiles.money.title","Money & Payment","เงิน & การจ่าย","",""
"plan.tiles.money.sub","Exchange · cards · cash","แลกเงิน · บัตร · เงินสด","",""
"plan.tiles.weather.title","Best Time / Weather","ช่วงเวลา & อากาศ","",""
"plan.tiles.weather.sub","When to visit & what to pack","ไปเมื่อไหร่? เตรียมอะไร?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","แผนเที่ยว AI — หัวใจของ Korea Trip Hub","",""
"hero.title_1","Pin your hotel. Pick a city.","ปักหมุดโรงแรม เลือกเมือง","",""
"hero.title_2","Get the whole trip planned.","แล้วจัดทริปให้ครบ","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","บอกเราว่าคุณพักที่ไหนและอยากไปไหน — เช่น ปูซาน เราจะหาเส้นทางที่เร็วที่สุด (KTX, รถบัส, เครื่องบิน) และจัดเส้นทางเที่ยวรายวันรอบจุดเด่น โดยเริ่มจากโรงแรมของคุณ","",""
"hero.f_hotel","Your hotel / starting point","โรงแรม / จุดเริ่มต้น","",""
"hero.f_dest","Where do you want to go?","อยากไปที่ไหน?","",""
"hero.f_days","Days","จำนวนวัน","",""
"hero.f_travelers","Travelers","จำนวนคน","",""
"hero.f_style","Trip style","สไตล์การเที่ยว","",""
"hero.build","Build my trip","สร้างแผนเที่ยว","",""
"help.eyebrow","Peace of mind","อุ่นใจ","",""
"help.title","Help & Safety","ช่วยเหลือ & ความปลอดภัย","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","ข้อมูลสำคัญที่ตรวจสอบกับแหล่งทางการแล้ว ควรบันทึกไว้ก่อนมาถึง","",""
"help.verified_on","Verified","ตรวจสอบเมื่อ","",""
"help.check_official","Always confirm at the official source","ตรวจสอบล่าสุดที่แหล่งทางการเสมอ","",""
"help.embassy.title","Your embassy","สถานทูตของคุณ","",""
"help.embassy.sub","Address, phone & map by country.","ที่อยู่ โทรศัพท์ & แผนที่ แยกตามประเทศ","",""
"help.unavailable","Being verified","กำลังตรวจสอบ","",""
