"key","English (source)","id (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","Persiapan","",""
"nav.planner","AI Planner","Rencana AI","",""
"nav.destinations","Destinations","Destinasi","",""
"nav.food","Food","Kuliner","",""
"nav.reviews","Reviews","Ulasan","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","Peta","",""
"nav.help","Help","Bantuan","",""
"plan.eyebrow","Plan your trip — start here","Rencanakan perjalanan — mulai di sini","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","6 hal dasar yang perlu disiapkan sebelum tiba di Korea.","",""
"plan.tiles.visa.title","Visa & K-ETA","Visa & K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","Izin masuk & aturan visa","",""
"plan.tiles.transit.title","Getting Around","Transportasi","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · subway · KTX · taksi","",""
"plan.tiles.airport.title","Airport → City","Bandara → kota","",""
"plan.tiles.airport.sub","Incheon · AREX express","Incheon · AREX ekspres","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","Langsung terhubung saat tiba","",""
"plan.tiles.money.title","Money & Payment","Uang & pembayaran","",""
"plan.tiles.money.sub","Exchange · cards · cash","Tukar uang · kartu · tunai","",""
"plan.tiles.weather.title","Best Time / Weather","Waktu terbaik & cuaca","",""
"plan.tiles.weather.sub","When to visit & what to pack","Kapan pergi? Bawa apa?","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","Perencana AI — inti dari Korea Trip Hub","",""
"hero.title_1","Pin your hotel. Pick a city.","Tandai hotelmu. Pilih kota.","",""
"hero.title_2","Get the whole trip planned.","Seluruh perjalanan tersusun.","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","Beri tahu kami di mana kamu menginap dan ingin ke mana — misalnya Busan. Kami cari rute tercepat (KTX, bus, pesawat) dan menyusun rute harian keliling tempat wajib, mulai dari hotelmu.","",""
"hero.f_hotel","Your hotel / starting point","Hotel / titik awal","",""
"hero.f_dest","Where do you want to go?","Ingin ke mana?","",""
"hero.f_days","Days","Jumlah hari","",""
"hero.f_travelers","Travelers","Jumlah orang","",""
