"key","English (source)","ar (current)","Reviewer fix","Notes"
"brand","KoreaTripHub","KoreaTripHub","",""
"nav.plan","Plan Trip","التحضير","",""
"nav.planner","AI Planner","مخطط بالذكاء الاصطناعي","",""
"nav.destinations","Destinations","الوجهات","",""
"nav.food","Food","الطعام","",""
"nav.reviews","Reviews","التقييمات","",""
"nav.kculture","K-Culture","K-Culture","",""
"nav.map","Map","الخريطة","",""
"nav.help","Help","المساعدة","",""
"plan.eyebrow","Plan your trip — start here","خطّط لرحلتك — ابدأ من هنا","",""
"plan.sub","The 6 essentials to sort before you land in Korea.","٦ أساسيات ينبغي ترتيبها قبل الوصول إلى كوريا.","",""
"plan.tiles.visa.title","Visa & K-ETA","التأشيرة و K-ETA","",""
"plan.tiles.visa.sub","Entry permit & visa rules","تصريح الدخول وقواعد التأشيرة","",""
"plan.tiles.transit.title","Getting Around","التنقّل","",""
"plan.tiles.transit.sub","T-money · subway · KTX · taxi","T-money · المترو · KTX · سيارة أجرة","",""
"plan.tiles.airport.title","Airport → City","المطار → المدينة","",""
"plan.tiles.airport.sub","Incheon · AREX express","إنتشون · AREX السريع","",""
"plan.tiles.sim.title","SIM / eSIM / Wi-Fi","SIM / eSIM / Wi-Fi","",""
"plan.tiles.sim.sub","Stay connected on arrival","اتصال فور الوصول","",""
"plan.tiles.money.title","Money & Payment","المال والدفع","",""
"plan.tiles.money.sub","Exchange · cards · cash","الصرافة · البطاقة · النقد","",""
"plan.tiles.weather.title","Best Time / Weather","أفضل وقت والطقس","",""
"plan.tiles.weather.sub","When to visit & what to pack","متى تذهب؟ ماذا تحضر؟","",""
"hero.badge","AI Trip Planner — the heart of Korea Trip Hub","مخطط الرحلات بالذكاء الاصطناعي — قلب Korea Trip Hub","",""
"hero.title_1","Pin your hotel. Pick a city.","حدّد فندقك. اختر مدينة.","",""
"hero.title_2","Get the whole trip planned.","وتُجهَّز الرحلة كاملة.","",""
"hero.lede","Tell us where you're staying and where you want to go — say, Busan. We map the fastest way there (KTX, bus, flight) and build a day-by-day route through the city's must-see spots, starting from your door.","أخبرنا أين تقيم وإلى أين تريد الذهاب — بوسان مثلاً. نجد أسرع طريق (KTX، حافلة، طائرة) ونبني مساراً يومياً انطلاقاً من فندقك.","",""
"hero.f_hotel","Your hotel / starting point","فندقك / نقطة الانطلاق","",""
